5000;14083;38916;223125;181250;550750;1614333;18491667;
5542;14417;60417;172958;432167;792000;6206292;4259792;
3583;13750;30834;431250;367500;360583;5171542;15051250;
5542;14583;76750;236250;81667;1035500;5158583;7471625;
5542;20167;47208;47208;428750;3072750;4999875;17179292;
6125;13208;33334;149791;198875;814583;2795583;22444125;
4792;18125;42000;146417;469000;2467375;4861667;1346875;
4958;10500;38792;376291;350167;870250;2900250;16033209;
6333;16334;23708;105375;1859000;914833;2737667;26715958;
4791;20500;57125;182333;1037917;758917;3059083;8067000;
4791;14417;22416;463750;266833;1254708;7623167;15203416;
5333;8709;93792;176958;165792;878334;10189833;2076292;
6333;14625;19916;121416;350958;1662791;4735875;7011000;
5375;12792;55334;83333;590625;1050166;2542833;4416250;
5875;13375;25292;144584;180250;740917;3619333;20014875;
5709;8792;46875;189542;154542;2679958;38998083;7194958;
5833;11000;52417;309834;369500;533583;1922667;12279917;
5709;6625;57459;184334;684167;451916;19035583;27029625;
5667;17708;28000;89500;457791;684208;6539667;8712750;
5834;15500;20750;119167;443334;1461417;2371083;49397583;
5167;9709;46083;69208;156083;1527417;7663000;26400583;
5125;11542;75583;57625;519041;911000;4730292;4123500;
4667;19250;36042;121084;304833;2456916;17363458;63842792;
5041;19833;76542;161917;346667;182459;17475084;56893334;
5583;12833;50083;61916;490958;355583;3428333;21371291;
5917;14709;66709;126916;916500;1351125;3687958;44519666;
4208;7917;47750;84000;1576667;2355542;2248334;13409417;
5834;21167;82333;99458;308667;1336625;1904000;61071917;
4667;17708;61792;83250;416208;923166;14429500;29375500;
5000;23250;40917;261458;401875;555333;3936000;4712084;
6208;9875;52583;117750;390042;349667;3935292;4983541;
5917;5958;49375;86375;131166;1669917;11307292;16847292;
5958;21375;48417;15709;165667;3264584;4230084;4596750;
5792;15959;40958;175209;584041;1055292;8125667;5139500;
5334;13166;53292;148875;388625;1699334;5585167;12532084;
5333;10042;34917;158083;521666;430083;2417792;11899375;
5666;8958;59833;127083;809375;2433167;7502334;26281250;
6458;10208;40292;269750;134750;2593666;3767667;9218500;
6542;19583;20416;186458;518541;1467750;3167709;66037917;
4583;14625;48875;157458;1384833;2818542;4303416;11197375;
5916;18875;14875;36625;1521625;1080542;14767000;66138417;
4250;13584;24583;53208;133459;792667;2832375;14642792;
4167;9916;62625;100458;359666;1733083;2603833;13022000;
3584;20125;47625;129791;66875;1930667;18510416;21422000;
5792;10125;50250;75875;338750;1601500;3511042;19621125;
5959;8166;46833;59542;233583;1177500;1739125;7027833;
4459;9083;41917;165083;337375;877250;3426000;2290000;
4667;13333;48583;55708;335583;1065667;5741667;23463959;
2958;17042;20666;228541;1277041;2109584;1755750;18516791;
3958;17792;45625;134917;1231250;236833;1043458;4990541;
4208;16375;57542;316250;521917;1646375;5093458;12524709;
4667;16542;45708;347333;602750;714250;3740167;2935625;
4959;9208;35292;30791;418416;1299708;3821375;20480208;
5542;6292;46125;205417;171000;744250;3522000;8858916;
4417;8750;45417;189458;637458;1732792;3580375;1538666;
4708;15750;28792;153708;196917;1516917;1794792;22179584;
4209;8541;72041;43750;529917;3788042;3195042;8593792;
6084;15917;57000;107209;314166;922917;1791000;17608667;
4125;6708;20875;74166;922667;1228000;10266583;9090833;
4583;12459;11375;125334;171708;2205917;3390625;6477208;
4459;12750;52667;281333;147083;842042;5329583;14711208;
3584;11750;34916;60666;1070041;3954833;4376000;7174792;
4792;13500;24958;134834;60125;2155958;2757042;1290166;
4542;14875;32250;338333;282542;756750;2958584;8650000;
4042;9708;42875;96333;212292;514250;3148000;13330042;
3959;8458;29000;161042;1003625;2955791;3521833;3271750;
2333;17875;40792;178583;523209;1646375;5873959;27106708;
5459;12792;71584;254792;208375;2524250;2075000;12201875;
4083;18500;42875;160333;347458;5803000;6154875;16193125;
5042;11833;61042;175125;124125;1264208;1887917;25163041;
5916;10792;36459;239625;899208;707125;4669166;20931208;
3416;19000;47375;73459;304500;1512417;8549041;36119500;
4958;12542;40083;153542;576833;996834;2725916;7647750;
5750;20125;49458;255542;589958;2749416;6058833;41612375;
5083;13500;20542;83875;406209;1684625;3323084;10064791;
4541;7375;48334;81667;788500;1048000;3058500;27492750;
5042;13167;38958;23292;324042;872208;5263792;49441042;
4625;15167;46250;107791;329584;835292;3961916;36348208;
4459;19667;76166;89459;242458;1448208;3283750;30426375;
4334;13834;32375;65833;455959;1189542;6441250;93084875;
4833;8917;35833;66167;317709;2316667;1685250;25547875;
4666;18916;31083;81709;414334;652958;3923792;9724291;
5250;20459;38166;72459;345084;1016542;3636875;3406917;
4666;11541;49958;317375;903917;844209;4157542;25384084;
4750;15917;88042;62625;1205042;759791;3561666;6796333;
5292;5292;29750;56291;205083;721958;2893250;21420375;
5166;17250;61083;185042;578416;1295500;13706291;3020166;
4917;15417;85750;155000;740583;1362583;4662375;15034333;
2958;20000;38167;203583;651000;4798083;2716500;14037875;
4459;8583;45375;54334;643125;912500;5581208;17672875;
5833;12209;26541;142625;265541;4416500;14825666;49987958;
5208;10167;53042;96208;397209;767958;2063666;3439375;
5458;15167;43208;89208;240125;444959;4595167;10248959;
5666;15166;39583;210041;419000;1278583;2960583;18365166;
5667;9375;30083;138333;403917;1331000;2407250;33525958;
4958;14666;28208;138875;563125;2765583;2504542;5743250;
4833;17417;50125;181459;674250;624416;8973083;13372625;
4792;11750;48333;112667;218041;1087291;2977834;70035541;
4791;13625;13875;129041;445208;560500;17358000;21916500;
4584;7333;30000;167042;325083;1797333;2755750;14294708;

